,reference,translation
336,You have got a very special brain.,you have a very peculiar brain.
337,"It's a little out of my league, but what the hell?","it's not my business, but what the hell?"
338,I'll pacefrom that wall and back again.,I'll cut to the wall and back.
339,His hair was burned off and black.,the charred remains of his hair were blackened.
340,They'resetting the place to blow up.,he's gonna blow this place up.
341,You-You scared him off. He thought you was the police.,"you scared the shit out of him, you thought you were a cop."
342,I want bazooka fire on those tanks all day!,I want you to shoot a bazooka on those tanks all day!
343,"But we had our CDs and we had our shit, and we're like, ""We're goin' to Panama City, we're gonna freakin' make it.","and we had our albums, our stuff, and we said, ""We're going to Panama City, we can do it."
344,"Okay, monster... go for it.","now you, monster."
345,"That they have to believe that whoever took Heiny he's, like, some big swinging dick,","they have to believe that whoever took Heinz was a tough guy, like..."
346,Timothy Stanton is impotent.,Timothy Stanton is an impotent man.
347,I'm going to pull my finger out and my socks up and myself together and we can...,"I'm gonna pull myself together, I'm gonna slice myself up so we can..."
348,"Then, he took the ashes, and he put them in an urn.",and then he took the ashes and shot him in the urn.
349,I do not want to touch on ciudaþii The girl out.,I don't want to touch the girls out there with dirty hands.
350,If I killed her.,did I kill her?
351,Getting hit in the face with a dodgeball during a different time...,get the ball in the face at other dodos.
352,"They came back for the tape, kidnapped me, and then they dropped my ass this side of town. OK?","they came back for the tape, they kidnapped me, and then I got fired on this side of town, OK?"
353,"Your hair, scumbag! Taken off Victor Sweet's dead body.",your hair was found at Sweet's body.
354,"A majestic, peaceful people, who lived off the land and cried when they saw litter.","the noble, humiliating people who lived outside of civilization and wept when they saw the rubbish."
355,"Well, yes, for an insect genitalia, but maybe not for a microprocessor.","well, yes, on the genitals of insects... but maybe not for the microprocessor."
356,"""The Big Bwana?"" almost screamed The Sheik, and then followed a stream of profane, Arabic invective against the white man whom all the transgressors of the jungle feared and hated.","""to the great Bwan?"" Said the sheik, then raised a stream of curses to the white man, whom everyone who had been in the jungle was afraid of the law."
357,I'm not just going to stand here and let her die! ~ Who? ~ Miss.,I'm not gonna stand here and let her die.
358,"I know it's a stupid question, but usually my customers don't turn up in pajamas Without shoes even!","I know it's a silly question, but my customers don't usually come in pyjamas and without shoes!"
359,Wake up. Baby bro starts shooting today.,"get up, bro's starting to roll today."
360,"Go, you rascal!","run, you rascal!"
361,"The stink, the filthy, filthy stink!","the smell, the bad smell!"
362,"I let you have ""girls dig guys with skinny arms."" That's private.",I'll let the girls poke the boys with skinny arms.
363,"Lisbon, you claim to have control over this wack job.","Lisbon, you said you were in control of this lunatic."
364,"""But not enough to even slow down this Viking maniac, that's obvious!"" Tully hissed.","""but this Viking maniac, as you can see, wasn't enough to slow down!"" Tully hissed."
365,"This crap will be coming out of your mouth, too.",you'll be out of your mouth by yourself.
366,Maybe she's a queen... and she got strangled.,maybe it's the queen... and strangled her.
367,"Oh, did you know what you were doing when you let my wife suck your cock?",did you know what you do when my wife huffed you?
368,It's broad fucking daylight.,it's a bright daylight.
369,Cleaning up dog shit?,do I have dog pickers?
370,"Well, well... tough luck.","oh, yeah. Stupid bad luck."
371,"Senor Bond, you've got big cojones.","Señor Bond, you've got a thing for fear."
372,That's ridiculous because I'm only down by three touchdowns.,that's bullshit. I only lose three touchdowns.
373,"No, I can't take my fuckin' brother.","no, I can't stand my brother."
374,You want them to find all the Johns upstairs getting their dicks sucked?,do you want them up there to find the Peeps with the pants down?
375,Poor kitty.,poor little pussy.
376,The vigilante shot him with an arrow.,the keeper apparently shot him with an arrow.
377,Mmm. Pigs in a blanket are awesome.,the pigs in the bathrobe are great.
378,I'm not wasting any more mental energy on that woman.,I'm not going to waste my energy on that woman.
379,You need to open your eyes and keep your mouth shut.,you should open your eyes and shut up.
380,You make the incision at the base of the skull...,we'll make an incision on the head of the head...
381,"Fuck, yeah.","oh, hell yeah."
382,Please tell me you're at the store on Roslyn. - Shit!,please tell me you're at the Roslyn store.
383,But you know she always tells everyone she bakes them herself and I know she doesn't.,"she's always saying she's a pussy herself, but I know she's not."
384,"Clean this shit upbefore Uncle C sees it, man.",and you clean up this mess before Uncle C.
385,He did disgusting things to me.,he did nasty things to me.
386,Get him!,hit him!
387,It had hair on the inside of its hands. And they covered my throat.,"it had hairy hands, and they went down my throat..."
388,The borinatch.,borinars.
389,"And I was, like... it was something she read in the whole Tiger Woods thing... zolpidem sex, you know?","and I was... it was something she read in that thing with Tiger Woods... Sex on zolpidem, you know?"
390,"Shut your eyes, Mrs Truscott.","close your eyes, Mrs. Truscott."
391,I figured you should have fresh breath while Meat Hammer turns your asshole inside out.,I thought you might want to have a fresh breath when Hammer of the meat turns your breast upside down.
392,Don't you fucking dare say we're the same.,don't you dare say we're the same!
393,Apparently most of the cursed weapons were either destroyed in the Sundering or confiscated by the Sartan before establishing the mensch on the new worlds.,"the majority of the damn weapon was then probably destroyed during the split, or confiscated by the Sartan before they put the mensch on the newly created worlds."
394,I don't know what the fuck I've been doing with my time.,I don't even know what the hell I was doing with my time.
395,I call it my shower dream.,my bloody rainwater dream.
396,"'Fuuck,' Freddy said, low.","""pig,"" Freddy said."
397,God damn. I'm thirsty.,"hell, I'm thirsty."
398,I can not hear! - blew up a bridge with people!,blow up the bridge with people.
399,Just close your eyes and down it or else you hate the baby.,you just kick it or you hate the baby.
400,Will you shut up?,can you keep your mouth shut?
401,It is in the nature of medicine that you are gonna screw up. You are gonna kill someone.,"it's in the nature of medicine that you do something, and you kill someone."
402,"And if you call it ""shit"" one more time, you can take your ass down to Danita.","and if you call it a maverick again, you can turn to Danita."
